Company Name,Industry,Symbol,Disabled
Multi Commodity Exchange of India Ltd.,Financial Services,MCX
NATCO Pharma Ltd.,Healthcare,NATCOPHARM
NBCC (India) Ltd.,Construction,NBCC
NCC Ltd.,Construction,NCC
NLC India Ltd.,Power,NLCINDIA
NMDC Steel Ltd.,Metals & Mining,NSLNISP
Narayana Hrudayalaya Ltd.,Healthcare,NH
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA
Orient Electric Ltd.,Consumer Durables,ORIENTELEC
PCBL Ltd.,Chemicals,PCBL
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING
PNC Infratech Ltd.,Construction,PNCINFRA
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX
Piramal Pharma Ltd.,Healthcare,PPLPHARMA
Poly Medicure Ltd.,Healthcare,POLYMED
Polyplex Corporation Ltd.,Capital Goods,POLYPLEX
Praj Industries Ltd.,Capital Goods,PRAJIND
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN
Procter & Gamble Health Ltd.,Healthcare,PGHL
Quess Corp Ltd.,Services,QUESS
RBL Bank Ltd.,Financial Services,RBLBANK
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM
RITES Ltd.,Construction,RITES
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO
Rain Industries Ltd,Chemicals,RAIN
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW
Rallis India Ltd.,Chemicals,RALLIS
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI
RattanIndia Enterprises Ltd.,Services,RTNINDIA
Raymond Ltd.,Textiles,RAYMOND
Redington Ltd.,Services,REDINGTON
Restaurant Brands Asia Ltd.,Consumer Services,RBA
Rossari Biotech Ltd.,Chemicals,ROSSARI
Route Mobile Ltd.,Telecommunication,ROUTE
SJVN Ltd.,Power,SJVN
Safari Industries (India) Ltd.,Consumer Durables,SAFARI
Sanofi India Ltd.,Healthcare,SANOFI
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA
Sharda Cropchem Ltd.,Chemicals,SHARDACROP
Sheela Foam Ltd.,Consumer Durables,SFL
Shoppers Stop Ltd.,Consumer Services,SHOPERSTOP
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA
Shyam Metalics and Energy Ltd.,Metals & Mining,SHYAMMETL
Sobha Ltd.,Realty,SOBHA
Sonata Software Ltd.,Information Technology,SONATSOFTW
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,x
Sterlite Technologies Ltd.,Telecommunication,STLTECH
Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC
Sunteck Realty Ltd.,Realty,SUNTECK
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT
Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR
Suzlon Energy Ltd.,Capital Goods,SUZLON
Swan Energy Ltd.,Realty,SWANENERGY
Symphony Ltd.,Consumer Durables,SYMPHONY
Syrma SGS Technology Ltd.,Capital Goods,SYRMA
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG
TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST
Tanla Platforms Ltd.,Information Technology,TANLA
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML
Teamlease Services Ltd.,Services,TEAMLEASE
Tejas Networks Ltd.,Telecommunication,TEJASNET
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI
Triveni Turbine Ltd.,Capital Goods,TRITURBINE
UCO Bank,Financial Services,UCOBANK
UTI Asset Management Company Ltd.,Financial Services,UTIAMC
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB
Usha Martin Ltd.,Capital Goods,USHAMART
V-Guard Industries Ltd.,Consumer Durables,VGUARD
V-Mart Retail Ltd.,Consumer Services,VMART
V.I.P. Industries Ltd.,Consumer Durables,VIPIND
Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL
Vardhman Textiles Ltd.,Textiles,VTL
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA
Welspun Corp Ltd.,Capital Goods,WELCORP
Welspun India Ltd.,Textiles,WELSPUNIND
Westlife Foodworld Ltd.,Consumer Services,WESTLIFE
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL
eClerx Services Ltd.,Services,ECLERX
